c0,c1,,,,,,,,,,,,,
PO4 (uM),Mu (d-1),Sd,,PO4 (uM),Mu (d-1),Sd,,,,,,,,
18.4,5.50E-01,0.179478689,,11.5,-1.10E-01,0.191797436,,,,,,,,
18.5,5.30E-01,,,10.9,-5.30E-02,,,,,,,,,
18.9,4.70E-01,,,10.9,-2.50E-02,,,,,,,,,
19.4,4.40E-01,,,12.5,-3.80E-02,,,,,,,,,
20.1,4.00E-01,,,13.4,-2.50E-02,,,,,,,,,
19.6,3.80E-01,,,11.8,-1.30E-02,,,,,,,,,
19.3,3.60E-01,,,11.9,3.10E-02,,Alexandrium affine,,,,Alexandrium fracterculus,,,
19.1,2.50E-01,,,11.4,1.80E-02,,,,,,,,,
17.6,3.10E-01,,,11.2,5.40E-02,,,,,,,,,
17.2,2.70E-01,,,11.8,7.50E-02,,,,,,,,,
17.3,4.10E-01,,,12.5,8.90E-02,,,,,,,,,
16.3,4.60E-01,,,12.5,2.00E-01,,,,,,,,,
15.8,5.40E-01,,,13.2,1.90E-01,,,,,,,,,
15.7,4.20E-01,,,14.4,1.90E-01,,,,,,,,,
14.4,2.80E-01,,,13.5,3.30E-01,,,,,,,,,
14,3.20E-01,,,14.6,3.20E-01,,,,,,,,,
13.8,4.10E-01,,,14.8,3.30E-01,,,,,,,,,
12.2,3.70E-01,,,21.4,2.20E-01,,,,,,,,,
11.7,3.30E-01,,,19.4,2.50E-01,,,,,,,,,
11.7,2.70E-01,,,18.3,2.70E-01,,,,,,,,,
10,2.50E-01,,,15.9,5.30E-01,,,,,,,,,
9.4,2.00E-01,,,17.3,5.30E-01,,,,,,,,,
7.5,2.00E-01,,,16,4.20E-01,,,,,,,,,
8.1,1.40E-01,,,16.2,4.00E-01,,,,,,,,,
5.9,1.40E-01,,,17.2,4.30E-01,,,,,,,,,
4.6,1.60E-01,,,17.5,4.30E-01,,,,,,,,,
4.7,-8.10E-03,,,18.5,3.40E-01,,,,,,,,,
5.9,2.70E-02,,,20.7,3.00E-01,,,,,,,,,
6.4,1.70E-02,,,20.1,3.00E-01,,,,,,,,,
7.4,1.40E-02,,,19.6,3.50E-01,,,,,,,,,
9.3,-8.20E-02,,,20.6,3.50E-01,,,,,,,,,
5.3,-6.50E-02,,,19.1,4.10E-01,,,,,,,,,
,,,,19.8,4.10E-01,,,,,,,,,
,,,,20.8,4.10E-01,,,,,,,,,
,,,,20.3,4.20E-01,,,,,,,,,
,,,,21,4.50E-01,,,,,,,,,
,,,,19.9,4.80E-01,,,,,,,,,
,,,,19.2,4.70E-01,,,,,,,,,
,,,,20.4,5.70E-01,,,,,,,,,